# fonte: https://www.bcb.gov.br/content/estabilidadefinanceira/str1/ParticipantesSTR.csv
# baixado_em: 2026-09-24
# linhas: 463
# sha256_bruto: 3073c905bcf196c56c78e5cd8244588b7781c6aa02fd8659027d7f5529e3abb9
codigo,ispb,nome
300,33042151,Banco de la Nacion Argentina
301,13370835,DOCK INSTITUIÇÃO DE PAGAMENTO S.A.
305,40353377,FOURTRADE CORRETORA DE CÂMBIO LTDA.
307,03751794,Terra Investimentos Distribuidora de Títulos e Valores Mobiliários Ltda.
310,22610500,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
312,07693858,HSCM - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.
318,61186680,Banco BMG S.A.
319,11495073,OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
320,07450604,BANK OF CHINA (BRASIL) BANCO MÚLTIPLO S/A
321,18188384,CREFAZ SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE S.A.
322,01073966,Cooperativa de Crédito Rural de Abelardo Luz - Sulcredi/Crediluz
323,10573521,MERCADO PAGO INSTITUIÇÃO DE PAGAMENTO LTDA.
324,21332862,CARTOS SOCIEDADE DE CRÉDITO DIRETO S.A.
326,03311443,"MEUTUDO S.A - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
329,32402502,QI Sociedade de Crédito Direto S.A.
330,00556603,BANCO BARI DE INVESTIMENTOS E FINANCIAMENTOS S.A.
331,13673855,OSLO CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A
332,13140088,ACESSO SOLUÇÕES DE PAGAMENTO S.A. - INSTITUIÇÃO DE PAGAMENTO
334,15124464,BANCO BESA S.A.
335,27098060,Banco Digio S.A.
336,31872495,Banco C6 S.A.
341,60701190,ITAÚ UNIBANCO S.A.
342,32997490,Creditas Sociedade de Crédito Direto S.A.
348,33264668,Banco XP S.A.
349,27214112,"AL5 S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
350,01330387,COOPERATIVA DE CRÉDITO POPULAR DO BRASIL - CREHNOR
352,29162769,SANTANDER CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
355,34335592,ÓTIMO SOCIEDADE DE CRÉDITO DIRETO S.A.
358,09464032,"MIDWAY S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
359,05351887,"ZEMA CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A"
360,02276653,TRINUS CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
362,01027058,CIELO S.A. - INSTITUIÇÃO DE PAGAMENTO
363,62285390,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
364,09089356,EFÍ S.A. - INSTITUIÇÃO DE PAGAMENTO
365,68757681,SIMPAUL CORRETORA DE CAMBIO E VALORES MOBILIARIOS  S.A.
366,61533584,BANCO SOCIETE GENERALE BRASIL S.A.
368,08357240,Banco CSF S.A.
370,61088183,Banco Mizuho do Brasil S.A.
373,35977097,UP.P SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.
374,27351731,"REALIZE SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A."
376,33172537,BANCO J.P. MORGAN S.A.
377,17826860,BMS SOCIEDADE DE CRÉDITO DIRETO S.A.
378,01852137,BANCO BRASILEIRO DE CRÉDITO SOCIEDADE ANÔNIMA
379,01658426,COOPERFORTE COOPERATIVA DE CRÉDITO E INVESTIMENTOS LTDA
380,22896431,PICPAY INSTITUIçãO DE PAGAMENTO S.A.
381,60814191,BANCO MERCEDES-BENZ DO BRASIL S.A.
382,04307598,FIDÚCIA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LIMITADA.
383,21018182,EBANX INSTITUICAO DE PAGAMENTOS LTDA.
384,11165756,GLOBAL FINANÇAS SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.
385,03844699,COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS TRABALHADORES PORTUARIOS DA GRANDE VITORIA - CREDESTIVA.
386,30680829,"NU FINANCEIRA S.A. - Sociedade de Crédito, Financiamento e Investimento"
387,03215790,Banco Toyota do Brasil S.A.
389,17184037,Banco Mercantil do Brasil S.A.
390,59274605,BANCO GM S.A.
391,08240446,COOPERATIVA DE CREDITO RURAL DE IBIAM - SULCREDI/IBIAM
393,59109165,Banco Volkswagen S.A.
394,07207996,Banco Bradesco Financiamentos S.A.
395,08673569,F.D'GOLD - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
396,13884775,MAGALUPAY INSTITUIÇÃO DE PAGAMENTO S.A.
397,34088029,LISTO SOCIEDADE DE CREDITO DIRETO S.A.
398,31749596,IDEAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
399,01701201,Kirton Bank S.A. - Banco Múltiplo
400,05491616,"COOPERATIVA DE CRÉDITO, POUPANÇA E SERVIÇOS FINANCEIROS - EM LIQUIDAÇÃO EXTRAJUDICIAL"
401,15111975,IUGU INSTITUIÇÃO DE PAGAMENTO S.A.
402,36947229,"COBUCCIO S/A - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTOS"
403,37880206,"CORA SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A."
404,37241230,"SUMUP SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A."
406,37715993,ACCREDITO - SOCIEDADE DE CRÉDITO DIRETO S.A.
407,00329598,SEFER INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA - EM LIQUIDAÇÃO EXTRAJUDICIAL
408,36586946,BONUSPAGO SOCIEDADE DE CRÉDITO DIRETO S.A.
410,05684234,PLANNER SOCIEDADE DE CRÉDITO DIRETO S.A.
411,05192316,"Via Certa Financiadora S.A. - Crédito, Financiamento e Investimentos"
412,15173776,SOCIAL BANK BANCO MÚLTIPLO S/A
413,01858774,BANCO BV S.A.
414,37526080,LEND SOCIEDADE DE CRÉDITO DIRETO S.A.
415,17157777,BANCO NACIONAL S.A.
416,19324634,LAMARA SOCIEDADE DE CRÉDITO DIRETO S.A.
418,37414009,ZIPDIN SOLUÇÕES DIGITAIS SOCIEDADE DE CRÉDITO DIRETO S/A
419,38129006,NUMBRS SOCIEDADE DE CRÉDITO DIRETO S.A.
421,39343350,LAR COOPERATIVA DE CRÉDITO - LAR CREDI
422,58160789,Banco Safra S.A.
423,00460065,COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS
425,03881423,"SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
426,11285104,"NEON FINANCEIRA - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A"
427,27302181,COOPERATIVA DE CRÉDITO DOS SERVIDORES DA UNIVERSIDADE FEDERAL DO ESPIRITO SANTO
428,39664698,CREDSYSTEM SOCIEDADE DE CRÉDITO DIRETO S.A.
430,00204963,COOPERATIVA DE CREDITO RURAL SEARA - CREDISEARA
433,44077014,BR-CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
435,38224857,DELFINANCE SOCIEDADE DE CREDITO DIRETO S.A.
438,67030395,TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA. - EM LIQUIDAÇÃO EXTRAJUDICIAL
439,16695922,ID CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
440,82096447,CREDI&GENTE - COOPERATIVA DE CRÉDITO E INVESTIMENTOS
443,39416705,OCTA SOCIEDADE DE CRÉDITO DIRETO S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL
444,40654622,TRINUS SOCIEDADE DE CRÉDITO DIRETO S.A.
445,35551187,"PLANTAE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
447,12392983,"MIRAE ASSET (BRASIL) CORRETORA DE CÂMBIO, TÍTULOS  E VALORES MOBILIÁRIOS LTDA."
448,39669186,HEMERA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
449,37555231,DM SOCIEDADE DE CRÉDITO DIRETO S.A.
450,13203354,FITS INSTITUIÇÃO DE PAGAMENTO S.A.
451,40475846,J17 - SOCIEDADE DE CRÉDITO DIRETO S/A
452,39676772,CREDIFIT SOCIEDADE DE CRÉDITO DIRETO S.A.
454,41592532,MÉRITO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
455,38429045,VIS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
456,60498557,Banco MUFG Brasil S.A.
